"result_sim1","result_se","gamma_result"
0.0296666666666667,0.0287779532774181,0.0714285714285714
0.001,0.00571488693325884,0.222222222222222
0,0,0.368421052631579
0,0,0.525641025641026
0.000625,0.00439704044175905,0.6625
0.00764705882352941,0.0215686274509804,0.829268292682927
0.181388888888889,0.145196554818334,0.976190476190476
0.00555555555555555,0.013676832331037,1.11363636363636
0,0,1.25555555555556
0,0,1.41304347826087
0,0,1.45744680851064
0,0,1.76041666666667
0,0,2.09183673469388
0,0,2.37254901960784
0,0,2.71153846153846
0,0,3
0,0,3.34259259259259
0,0,3.61607142857143
0,0,3.95614035087719
0,0,4.24137931034483
