"result_sim1","result_se","gamma_result"
0.317,0.105674574049054,0.0142857142857143
0.0516666666666667,0.0452886985652368,0.180555555555556
0.0163333333333333,0.0248429409927995,0.328947368421053
0.0125,0.0193608411934289,0.487179487179487
0.02125,0.0300856311554237,0.6375
0.0288235294117647,0.0336983267469265,0.792682926829268
0.209444444444444,0.124001184680711,0.964285714285714
0.0522222222222222,0.0569795066018485,1.10227272727273
0.0119444444444444,0.0202302342263991,1.25555555555556
0.00526315789473684,0.0129569990504561,1.41304347826087
0.004,0.00987293003493631,1.45744680851064
0.001,0.00492365963917331,1.76041666666667
0.000476190476190476,0.00335012605086404,2.09183673469388
0,0,2.37254901960784
0,0,2.71153846153846
0,0,3
0,0,3.34259259259259
0,0,3.61607142857143
0,0,3.95614035087719
0,0,4.24137931034483
0.2388,0.0880688435947765,0.0169491525423729
0.0158,0.0184872328318161,0.172131147540984
0.00326923076923077,0.00775759011620063,0.336065573770492
0.00365384615384615,0.010828659975974,0.484126984126984
0.00222222222222222,0.00604812282168686,0.640625
0.00944444444444444,0.0145350978425933,0.795454545454545
0.106785714285714,0.0729889097903302,0.954545454545455
0.0251785714285714,0.0327105354284341,1.10294117647059
0.00310344827586207,0.00862243103275914,1.26811594202899
0.000666666666666667,0.00328243975944887,1.42857142857143
