"train_error","test_error","gamma_result","train_error","test_error","gamma_result","train_error","test_error","gamma_result"
0,0.3608333,1,0,0.2895833,1,0,0.114,1
0.392142857142857,0.386333333333333,0.0142857142857143,0.314857142857143,0.312333333333333,0.0142857142857143,0.234285714285714,0.229333333333333,0.0142857142857143
0.133648648648649,0.223333333333333,0.175675675675676,0.0227027027027027,0.051,0.175675675675676,0.00121621621621622,0.00933333333333333,0.175675675675676
0.0448717948717949,0.1603125,0.333333333333333,0.000641025641025641,0.020625,0.333333333333333,0,0.000625,0.333333333333333
0.00825,0.155588235294118,0.4875,0,0.0179411764705882,0.4875,0,0.000294117647058824,0.4875
0.000714285714285714,0.164166666666667,0.642857142857143,0,0.0161111111111111,0.642857142857143,0,0.000555555555555556,0.642857142857143
0,0.188333333333333,0.788888888888889,0,0.0322222222222222,0.788888888888889,0,0.00388888888888889,0.788888888888889
0,0.336578947368421,0.956521739130435,0,0.188684210526316,0.956521739130435,0,0.117368421052632,0.956521739130435
0,0.221,1.11458333333333,0,0.04275,1.11458333333333,0,0.011,1.11458333333333
0,0.131904761904762,1.27,0,0.0128571428571429,1.27,0,0.000238095238095238,1.27
0,0.101428571428571,1.40384615384615,0,0.00523809523809524,1.40384615384615,0,0,1.40384615384615
9.25925925925926e-05,0.0788636363636364,1.44444444444444,0,0.0025,1.44444444444444,0,0,1.44444444444444
0.00136363636363636,0.0526086956521739,1.76363636363636,0,0.000869565217391304,1.76363636363636,0,0,1.76363636363636
0.00421052631578947,0.040625,2.07894736842105,0,0.000833333333333333,2.07894736842105,0,0,2.07894736842105
0.00720338983050847,0.0342,2.39830508474576,0,0,2.39830508474576,0,0,2.39830508474576
0.0145081967213115,0.0204,2.68032786885246,0,0,2.68032786885246,0,0,2.68032786885246
0.0194444444444444,0.0163461538461538,3,0,0,3,0,0,3
0.0279230769230769,0.0105555555555556,3.31538461538462,0.000307692307692308,0,3.31538461538462,0,0,3.31538461538462
0.0321212121212121,0.0107142857142857,3.65151515151515,0.000227272727272727,0,3.65151515151515,0,0,3.65151515151515
0.0390441176470588,0.0105172413793103,3.97058823529412,0.000294117647058824,0,3.97058823529412,0,0,3.97058823529412
0.0448571428571429,0.00883333333333333,4.28571428571429,5e-04,0,4.28571428571429,0,0,4.28571428571429
