"result_sim1","result_se","gamma_result"
0.263863636363636,0.134549262535147,0.142857142857143
0.277348484848485,0.138200124546571,0.3
0.244615384615385,0.119958552800767,0.411764705882353
0.275164835164835,0.134849199241059,0.588235294117647
0.335857142857143,0.135344305521616,0.684210526315789
0.396958333333333,0.13704950561508,0.868421052631579
0.393566176470588,0.127591635972535,0.976190476190476
0.341013071895425,0.110975469538379,1.13636363636364
0.305994152046784,0.114806356377775,1.26086956521739
0.250868421052632,0.0979004352865774,1.41666666666667
0.24852380952381,0.0934382478138138,1.44
0.170887445887446,0.0731010235781098,1.92307692307692
0.120454545454545,0.0589919351951175,2.37037037037037
0.110199275362319,0.0504836006965416,2.89285714285714
0.109316666666667,0.0526626042630495,3.28333333333333
0.0972,0.0515630436916545,3.7258064516129
0.0947863247863248,0.0459568216839595,4.234375
0.109387464387464,0.0527702123813058,4.66666666666667
0.1025,0.0506744350878212,5.19117647058824
0.0939425287356322,0.0478677343391673,5.71428571428571
