"result_sim1","result_se","gamma_result"
0.221666666666667,0.127689912697573,0.142857142857143
0.1275,0.0979983451153248,0.3
0.0975,0.0821079946374861,0.411764705882353
0.1,0.0818513870181344,0.588235294117647
0.0935714285714286,0.101876336206147,0.684210526315789
0.178125,0.139153000145505,0.868421052631579
0.241875,0.131358180525269,0.976190476190476
0.108888888888889,0.0917197921082038,1.13636363636364
0.0572222222222222,0.0588024268391182,1.26086956521739
0.045,0.0514928650544437,1.41666666666667
0.037,0.0505624925865572,1.44
0.0145454545454545,0.0265436682544262,1.92307692307692
0.005,0.0156861594182664,2.37037037037037
0.00708333333333333,0.0187792047153723,2.89285714285714
0.005,0.014841096217086,3.28333333333333
0.00333333333333333,0.0113608301810121,3.7258064516129
0.00230769230769231,0.00918012525292085,4.234375
0.000384615384615385,0.00384615384615385,4.66666666666667
0.00107142857142857,0.00612309314277733,5.19117647058824
0.001,0.00571488693325884,5.71428571428571
