"train_error","test_error","gamma_result","train_error","test_error","gamma_result","train_error","test_error","gamma_result"
0.3,0.310333333333333,0.0142857142857143,0.308857142857143,0.310666666666667,0.0142857142857143,0.306857142857143,0.304666666666667,0.0142857142857143
0.0747297297297297,0.154666666666667,0.175675675675676,0.151891891891892,0.234,0.175675675675676,0.190945945945946,0.287666666666667,0.175675675675676
0.038974358974359,0.1484375,0.333333333333333,0.102179487179487,0.2675,0.333333333333333,0.128076923076923,0.321875,0.333333333333333
0.01475,0.169705882352941,0.4875,0.053625,0.322058823529412,0.4875,0.086625,0.355,0.4875
0.00238095238095238,0.227222222222222,0.642857142857143,0.0238095238095238,0.345555555555556,0.642857142857143,0.0378571428571429,0.396388888888889,0.642857142857143
0.000555555555555556,0.276944444444444,0.788888888888889,0.00333333333333333,0.392777777777778,0.788888888888889,0.00655555555555556,0.434166666666667,0.788888888888889
0,0.405,0.956521739130435,0,0.437368421052632,0.956521739130435,0,0.459473684210526,0.956521739130435
0,0.319,1.11458333333333,0.00125,0.41325,1.11458333333333,0.0015625,0.435,1.11458333333333
4e-04,0.245238095238095,1.27,0.0064,0.365714285714286,1.27,0.0129,0.405714285714286,1.27
0.00115384615384615,0.211190476190476,1.40384615384615,0.0152884615384615,0.339047619047619,1.40384615384615,0.0272115384615385,0.394523809523809,1.40384615384615
0.00111111111111111,0.190681818181818,1.44444444444444,0.0182407407407407,0.306363636363636,1.44444444444444,0.0290740740740741,0.379090909090909,1.44444444444444
0.00618181818181818,0.138260869565217,1.76363636363636,0.0440909090909091,0.275434782608696,1.76363636363636,0.0642727272727273,0.337173913043478,1.76363636363636
0.012719298245614,0.11375,2.07894736842105,0.0617543859649123,0.2575,2.07894736842105,0.0901754385964912,0.326041666666667,2.07894736842105
0.016271186440678,0.099,2.39830508474576,0.0772881355932203,0.2382,2.39830508474576,0.107627118644068,0.308,2.39830508474576
0.020655737704918,0.0892,2.68032786885246,0.0845081967213115,0.2296,2.68032786885246,0.119508196721311,0.2998,2.68032786885246
0.0257142857142857,0.0786538461538462,3,0.0958730158730159,0.220769230769231,3,0.135555555555556,0.283461538461538,3
0.0275384615384615,0.0794444444444444,3.31538461538462,0.104615384615385,0.221851851851852,3.31538461538462,0.147076923076923,0.280185185185185,3.31538461538462
0.0337121212121212,0.0708928571428571,3.65151515151515,0.107272727272727,0.210357142857143,3.65151515151515,0.154015151515152,0.27375,3.65151515151515
0.0327205882352941,0.0693103448275862,3.97058823529412,0.116029411764706,0.204655172413793,3.97058823529412,0.16125,0.267068965517241,3.97058823529412
0.0360714285714286,0.0673333333333333,4.28571428571429,0.118285714285714,0.1955,4.28571428571429,0.165785714285714,0.260333333333333,4.28571428571429
