"index","train","test"
1,0.446285714285714,0.444333333333333
6,0.338714285714286,0.385333333333333
11,0.277571428571429,0.350666666666667
16,0.225142857142857,0.307333333333333
21,0.199571428571429,0.293333333333333
26,0.169,0.3
31,0.136571428571429,0.276
36,0.120428571428571,0.241
41,0.0968571428571428,0.228333333333333
46,0.0715714285714286,0.239666666666667
51,0.0641428571428571,0.228333333333333
56,0.0455714285714286,0.235
61,0.0338571428571429,0.220333333333333
66,0.0297142857142857,0.219666666666667
71,0.0222857142857143,0.216
76,0.013,0.216333333333333
81,0.00942857142857143,0.219666666666667
86,0.00657142857142857,0.235
91,0.00257142857142857,0.223333333333333
96,0.00157142857142857,0.239
101,0.00128571428571429,0.250666666666667
106,0.000142857142857143,0.263666666666667
111,0.000142857142857143,0.272666666666667
116,0,0.279666666666667
121,0,0.296333333333333
126,0,0.327333333333333
131,0,0.365
136,0,0.397666666666667
141,0,0.382
146,0,0.354666666666667
151,0,0.344666666666667
156,0,0.285
161,0.000285714285714286,0.279666666666667
166,0,0.253
171,0.000142857142857143,0.229333333333333
176,0,0.236666666666667
181,0.000571428571428571,0.239333333333333
186,0.000142857142857143,0.218666666666667
191,0.001,0.212666666666667
196,0.00142857142857143,0.198
201,0.00185714285714286,0.197
206,0.002,0.179666666666667
211,0.00371428571428571,0.181
216,0.00371428571428571,0.179
221,0.00371428571428571,0.179
226,0.00657142857142857,0.169666666666667
231,0.006,0.151333333333333
236,0.009,0.180666666666667
241,0.00785714285714286,0.166333333333333
246,0.0114285714285714,0.168666666666667
251,0.0141428571428571,0.155
256,0.0132857142857143,0.146
261,0.0191428571428571,0.139666666666667
266,0.0202857142857143,0.144333333333333
271,0.0202857142857143,0.150666666666667
276,0.0225714285714286,0.134333333333333
281,0.0241428571428571,0.137666666666667
286,0.0214285714285714,0.123333333333333
291,0.0271428571428571,0.136
296,0.0335714285714286,0.138
301,0.0292857142857143,0.131
306,0.0335714285714286,0.130333333333333
311,0.0347142857142857,0.126333333333333
316,0.04,0.121666666666667
321,0.0387142857142857,0.127
326,0.0381428571428571,0.112
331,0.0442857142857143,0.117666666666667
336,0.044,0.119333333333333
341,0.0508571428571429,0.127
346,0.0485714285714286,0.12
351,0.0538571428571429,0.113666666666667
356,0.0488571428571429,0.118333333333333
361,0.0568571428571429,0.125666666666667
366,0.058,0.117666666666667
371,0.0547142857142857,0.118666666666667
376,0.0631428571428571,0.113
381,0.063,0.095
386,0.0677142857142857,0.113666666666667
391,0.0714285714285714,0.112
396,0.0688571428571429,0.111333333333333
401,0.0671428571428571,0.0966666666666667
406,0.0675714285714286,0.112
411,0.071,0.105666666666667
416,0.0748571428571429,0.103666666666667
421,0.0751428571428571,0.116333333333333
426,0.0834285714285714,0.107666666666667
431,0.0824285714285714,0.108333333333333
436,0.0808571428571428,0.0993333333333333
441,0.0847142857142857,0.105
446,0.0918571428571429,0.106
451,0.088,0.107666666666667
456,0.0905714285714286,0.111333333333333
461,0.0915714285714286,0.102333333333333
466,0.0935714285714286,0.101
471,0.0951428571428571,0.104
476,0.0964285714285714,0.098
481,0.0934285714285714,0.0983333333333333
