"result_sim1","result_se","gamma_result"
0.298,0.0779680213015504,0.0714285714285714
0.165666666666667,0.0789173373090231,0.222222222222222
0.141333333333333,0.063053608744921,0.368421052631579
0.119375,0.0616066200283146,0.525641025641026
0.134375,0.07099747025654,0.6625
0.185882352941176,0.0746503974246461,0.829268292682927
0.371944444444444,0.097663740126151,0.976190476190476
0.175,0.0809613795625476,1.11363636363636
0.115555555555556,0.0616368569318348,1.25555555555556
0.0881578947368421,0.0457143725291273,1.41304347826087
0.0695,0.0391803651093377,1.45744680851064
0.0455,0.033405225503042,1.76041666666667
0.0345238095238095,0.0273623857414162,2.09183673469388
0.0323809523809524,0.0286194881992916,2.37254901960784
0.0218181818181818,0.0228234877985763,2.71153846153846
0.0184090909090909,0.0218363006339843,3
0.0180434782608696,0.0222931169454976,3.34259259259259
0.013695652173913,0.0181895736834313,3.61607142857143
0.01375,0.0162780880447557,3.95614035087719
0.0116666666666667,0.0163049984417757,4.24137931034483
