"index","train","test"
1,0.436734693877551,0.466666666666667
6,0.321020408163265,0.384761904761905
11,0.28265306122449,0.359047619047619
16,0.214081632653061,0.328095238095238
21,0.189387755102041,0.313809523809524
26,0.137755102040816,0.301428571428571
31,0.104897959183673,0.279047619047619
36,0.0938775510204082,0.279047619047619
41,0.0640816326530612,0.265238095238095
46,0.0510204081632653,0.262380952380952
51,0.0348979591836735,0.27
56,0.0187755102040816,0.252380952380952
61,0.00918367346938775,0.30047619047619
66,0.00551020408163265,0.28952380952381
71,0.0026530612244898,0.285238095238095
76,0.000612244897959184,0.299047619047619
81,0,0.313809523809524
86,0,0.353333333333333
91,0,0.394285714285714
96,0,0.418095238095238
101,0,0.388095238095238
106,0,0.363333333333333
111,0.000204081632653061,0.323333333333333
116,0.000204081632653061,0.307619047619048
121,0.00142857142857143,0.28
126,0.00163265306122449,0.269047619047619
131,0.0026530612244898,0.277619047619048
136,0.00244897959183673,0.256190476190476
141,0.00795918367346939,0.244761904761905
146,0.00653061224489796,0.245238095238095
151,0.00959183673469388,0.226666666666667
156,0.0116326530612245,0.217619047619048
161,0.0202040816326531,0.222380952380952
166,0.0197959183673469,0.211428571428571
171,0.0218367346938775,0.205238095238095
176,0.0275510204081633,0.209047619047619
181,0.0328571428571429,0.203333333333333
186,0.036530612244898,0.19
191,0.0410204081632653,0.211904761904762
196,0.0451020408163265,0.19952380952381
201,0.046734693877551,0.186666666666667
206,0.0553061224489796,0.18047619047619
211,0.0561224489795918,0.18
216,0.0540816326530612,0.161904761904762
221,0.0581632653061224,0.171428571428571
226,0.0677551020408163,0.172380952380952
231,0.0675510204081633,0.167142857142857
236,0.066734693877551,0.204285714285714
241,0.0751020408163265,0.162857142857143
246,0.0789795918367347,0.18047619047619
251,0.0836734693877551,0.165238095238095
256,0.0820408163265306,0.16
261,0.0871428571428571,0.178095238095238
266,0.0893877551020408,0.171428571428571
271,0.0944897959183673,0.170952380952381
276,0.0955102040816326,0.151904761904762
281,0.0985714285714286,0.158095238095238
286,0.107959183673469,0.18047619047619
291,0.107959183673469,0.156190476190476
296,0.113469387755102,0.135714285714286
301,0.110816326530612,0.151904761904762
306,0.116326530612245,0.175714285714286
311,0.112448979591837,0.142857142857143
316,0.129183673469388,0.17
321,0.12,0.172857142857143
326,0.123673469387755,0.147619047619048
331,0.131632653061224,0.162857142857143
336,0.124897959183673,0.147142857142857
341,0.132857142857143,0.142380952380952
346,0.125714285714286,0.177142857142857
351,0.13530612244898,0.160952380952381
356,0.134081632653061,0.15
361,0.141020408163265,0.152857142857143
366,0.145510204081633,0.159047619047619
371,0.14265306122449,0.146190476190476
376,0.141224489795918,0.152380952380952
381,0.154285714285714,0.143333333333333
386,0.147142857142857,0.13047619047619
391,0.147959183673469,0.138571428571429
396,0.158979591836735,0.152380952380952
401,0.160408163265306,0.140952380952381
406,0.16530612244898,0.146190476190476
411,0.168571428571429,0.157619047619048
416,0.157959183673469,0.143809523809524
421,0.168571428571429,0.146190476190476
426,0.173265306122449,0.14047619047619
431,0.168367346938776,0.139047619047619
436,0.169387755102041,0.136190476190476
441,0.165102040816327,0.128571428571429
446,0.172244897959184,0.14
451,0.177755102040816,0.14952380952381
456,0.182448979591837,0.15
461,0.17530612244898,0.139047619047619
466,0.178775510204082,0.146666666666667
471,0.187551020408163,0.146666666666667
476,0.19,0.137619047619048
481,0.188775510204082,0.123809523809524
